beta,Ns,Nt,xi_in,nape,alpha,cores,cpu,limit,betaone,Ntone,fraction,skip,meas,nsave,offset,every,bootl,steps_therm,n_gauge_eff,L=3_available,nconf/l,
1.575,16,32,0.5,0,1,8,1,0,1.7,32,0.5,250,300000,50,0,1,3,12500,1750,1,583,
1.7,16,32,0.5,0,1,1,1,0,1.7,32,0.5,500,100000,50,0,1,4,25000,1500,1,375,
1.45,16,40,0.4,0,1,5,1,0,1.7,40,0.5,500,300000,50,0,1,16,25000,2500,0,625,
1.46,16,40,0.4,0,1,5,1,0,1.7,40,0.5,500,150000,50,0,1,4,25000,2500,0,625,
1.47,16,40,0.4,0,1,1,1,0,1.7,40,0.5,500,300000,50,0,1,4,25000,5500,1,1375,
1.48,16,40,0.4,0,1,1,1,0,1.7,40,0.5,500,300000,50,0,1,4,25000,5500,1,1375,
1.495,16,40,0.4,0,1,1,1,0,1.7,40,0.5,500,300000,50,0,1,4,25000,5500,1,1375,
1.511,16,40,0.4,0,1,10,1,0,1.7,40,0.5,250,100000,50,0,1,8,12500,1750,1,218,
1.52,16,40,0.4,0,1,1,1,0,1.7,40,0.5,500,300000,50,0,1,5,25000,5500,0,1100,
1.525,16,40,0.4,0,1,5,1,0,1.7,40,0.5,500,150000,50,0,1,6,25000,2500,1,416,
1.55,16,40,0.4,0,1,1,1,0,1.7,40,0.5,500,300000,50,0,1,5,25000,5500,0,1100,
1.57,16,40,0.4,0,1,1,1,0,1.7,40,0.5,500,300000,50,0,1,4,25000,5500,1,1375,
1.7,16,40,0.4,0,1,1,1,0,1.7,40,0.5,500,100000,50,0,2,22,25000,1500,0,68,
1.43,16,48,0.333333,0,1,8,1,0,1.7,48,0.5,1000,800000,50,0,1,20,50000,3000,0,272,
1.44,16,48,0.333333,0,1,8,1,0,1.7,48,0.5,1000,800000,50,0,1,20,50000,3000,0,272,
1.45,16,48,0.333333,0,1,8,1,0,1.7,48,0.5,1000,200000,50,0,1,11,50000,3000,0,272,
